code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,num_of_prev_attempts,studied_credits,num_assessments,min_score,max_score,avg_date_submitted,total_banked
GGG,2013B,F,Wales,Lower Than A Level,80-90%,35-55,N,0,30,6,65.1,84.3,111.0,0
EEE,2014B,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,N,2,30,2,52.4,82.7,88.9,0
BBB,2014J,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,30,3,22.2,100.0,81.8,0
BBB,2013B,M,South Region,HE Qualification,60-70%,0-35,Y,0,84,11,37.7,96.4,160.0,0
EEE,2014B,M,Scotland,Lower Than A Level,10-20,0-35,N,0,43,2,47.7,83.6,147.6,0
BBB,2014J,M,South Region,HE Qualification,40-50%,0-35,N,0,98,1,17.7,100.0,104.4,0
FFF,2014J,F,Ireland,HE Qualification,90-100%,0-35,N,0,79,5,37.0,85.6,3.3,0
DDD,2014B,M,South East Region,Lower Than A Level,10-20,0-35,N,0,30,11,68.4,74.1,83.8,0
GGG,2014B,M,North Region,Lower Than A Level,50-60%,0-35,N,4,103,7,85.9,85.9,160.0,1
CCC,2013J,M,North Western Region,A Level or Equivalent,90-100%,0-35,N,0,109,6,44.2,72.1,89.2,0
DDD,2013B,M,Scotland,A Level or Equivalent,70-80%,0-35,N,0,39,8,70.7,83.3,144.5,0
FFF,2014B,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,0,94,1,10.5,100.0,158.5,0
DDD,2014J,M,North Western Region,Lower Than A Level,20-30%,0-35,N,0,44,10,68.5,74.9,107.9,0
AAA,2014J,F,Yorkshire Region,Lower Than A Level,30-40%,0-35,N,1,82,9,35.5,90.6,63.9,0
FFF,2014J,M,Scotland,HE Qualification,60-70%,0-35,N,0,30,6,60.6,77.2,0.0,0
DDD,2014B,M,North Western Region,A Level or Equivalent,50-60%,0-35,N,0,30,12,48.1,83.5,127.1,0
EEE,2014J,M,East Anglian Region,Lower Than A Level,20-30%,35-55,N,0,63,3,83.4,83.4,65.0,0
CCC,2013J,M,London Region,Lower Than A Level,90-100%,0-35,N,0,73,13,33.9,84.2,106.1,0
CCC,2014B,M,Wales,Lower Than A Level,0-10%,0-35,N,0,62,8,67.8,84.6,47.0,0
CCC,2013B,M,North Western Region,Lower Than A Level,10-20,0-35,N,0,32,6,47.4,96.2,87.8,0
BBB,2014J,F,London Region,A Level or Equivalent,50-60%,0-35,N,0,62,8,50.1,91.2,100.2,0
BBB,2014B,M,London Region,Lower Than A Level,60-70%,0-35,N,1,88,7,49.5,68.6,109.9,0
EEE,2014J,F,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,76,13,34.6,100.0,52.6,0
EEE,2014B,F,South East Region,A Level or Equivalent,10-20,0-35,N,2,85,3,53.3,91.0,148.4,0
EEE,2014J,F,Yorkshire Region,Lower Than A Level,80-90%,35-55,N,0,52,4,52.2,90.8,74.1,0
GGG,2013J,M,North Region,Lower Than A Level,50-60%,0-35,N,0,124,12,59.1,87.5,29.4,0
DDD,2014B,M,South East Region,HE Qualification,0-10%,35-55,N,0,32,5,55.6,79.4,94.3,0
DDD,2014J,M,London Region,Lower Than A Level,50-60%,35-55,Y,0,97,12,71.7,91.1,100.2,0
CCC,2014J,M,East Midlands Region,Lower Than A Level,30-40%,35-55,N,0,124,15,74.5,95.2,105.4,0
DDD,2014B,F,North Western Region,Lower Than A Level,20-30%,0-35,N,0,97,6,30.0,59.9,155.2,0
CCC,2014B,M,South Region,Lower Than A Level,50-60%,0-35,N,0,70,11,73.3,79.1,89.0,0
CCC,2014B,M,South East Region,A Level or Equivalent,20-30%,35-55,N,0,57,3,26.9,83.6,93.8,0
EEE,2014B,F,Scotland,A Level or Equivalent,30-40%,0-35,N,0,118,11,66.9,91.7,53.1,1
BBB,2013J,F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,N,0,30,9,67.6,100.0,132.8,0
BBB,2014J,F,North Western Region,Lower Than A Level,?,35-55,N,0,40,10,10.5,75.4,106.4,1
FFF,2014J,M,South West Region,A Level or Equivalent,80-90%,35-55,N,0,62,5,55.8,79.8,81.4,0
DDD,2014J,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,0,126,1,43.1,79.5,19.9,0
FFF,2013B,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,0,93,10,36.5,74.9,158.6,0
BBB,2013J,M,South West Region,HE Qualification,90-100%,0-35,N,1,40,1,84.1,84.1,47.9,0
DDD,2013J,M,South West Region,A Level or Equivalent,20-30%,35-55,N,0,66,6,38.9,99.9,74.3,0
BBB,2013J,M,Scotland,Lower Than A Level,90-100%,35-55,N,0,54,12,35.5,70.9,113.6,0
DDD,2013B,M,West Midlands Region,A Level or Equivalent,?,0-35,Y,0,50,9,55.4,94.4,49.2,0
FFF,2014J,M,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,116,17,69.1,69.1,36.9,0
FFF,2013J,M,Wales,A Level or Equivalent,?,35-55,N,0,30,12,50.5,78.7,10.8,0
EEE,2013J,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N,0,141,5,80.0,82.4,128.7,0
BBB,2013J,F,East Midlands Region,Lower Than A Level,10-20,0-35,N,1,110,8,65.6,100.0,76.2,0
FFF,2014J,F,Scotland,A Level or Equivalent,50-60%,35-55,N,0,120,8,4.5,83.3,160.0,0
DDD,2013B,M,Scotland,A Level or Equivalent,0-10%,0-35,N,0,60,1,41.7,52.7,57.6,0
CCC,2013B,M,Wales,A Level or Equivalent,30-40%,0-35,N,0,72,3,41.0,55.9,60.6,0
FFF,2013J,M,Scotland,A Level or Equivalent,60-70%,0-35,N,0,30,5,64.5,88.2,75.4,0
DDD,2014B,F,Scotland,A Level or Equivalent,?,0-35,N,0,57,1,0.0,97.4,108.9,0
FFF,2013B,F,Scotland,A Level or Equivalent,20-30%,35-55,N,0,97,8,100.0,100.0,79.3,0
FFF,2014B,M,North Region,Lower Than A Level,80-90%,0-35,N,0,128,7,65.6,90.3,124.1,0
DDD,2014J,F,Wales,Lower Than A Level,90-100%,55<=,Y,1,35,1,57.0,100.0,58.2,0
DDD,2013J,M,London Region,Lower Than A Level,90-100%,0-35,N,0,64,10,80.3,80.3,41.5,2
DDD,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,Y,0,72,11,100.0,100.0,24.3,0
CCC,2013J,F,London Region,HE Qualification,0-10%,0-35,N,0,30,9,73.3,73.3,6.7,0
AAA,2014B,F,Wales,A Level or Equivalent,?,0-35,Y,0,101,6,75.1,75.1,77.3,0
DDD,2013B,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,0,50,10,56.6,59.0,86.3,0
BBB,2013B,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,0,70,11,50.5,83.3,72.6,0
CCC,2013J,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,0,60,9,42.9,86.9,150.3,1
BBB,2014J,F,Scotland,A Level or Equivalent,70-80%,0-35,N,0,47,4,35.0,89.5,149.7,0
BBB,2013B,M,East Midlands Region,Lower Than A Level,10-20,35-55,N,0,77,9,38.2,88.6,84.9,0
FFF,2014B,F,Wales,HE Qualification,60-70%,0-35,N,1,69,13,23.2,72.9,24.5,0
FFF,2014J,M,South Region,Lower Than A Level,60-70%,35-55,N,0,63,5,51.9,84.6,75.3,0
GGG,2013B,F,Scotland,Lower Than A Level,20-30%,0-35,N,1,49,17,15.7,63.9,73.9,0
EEE,2013B,M,Scotland,No Formal quals,0-10%,0-35,N,2,90,5,58.0,100.0,71.6,0
CCC,2013J,F,Ireland,A Level or Equivalent,70-80%,0-35,N,0,142,8,52.8,82.8,69.9,0
BBB,2013J,M,South Region,A Level or Equivalent,50-60%,0-35,N,0,83,5,57.0,79.9,71.7,0
FFF,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,N,0,117,9,41.9,100.0,82.8,0
FFF,2014J,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,30,1,100.0,100.0,72.4,0
BBB,2014J,M,London Region,A Level or Equivalent,40-50%,35-55,N,0,84,5,84.3,84.3,107.4,0
DDD,2014B,M,East Anglian Region,HE Qualification,90-100%,0-35,N,0,35,3,25.6,70.3,113.7,0
CCC,2014J,M,East Anglian Region,Lower Than A Level,10-20,0-35,N,1,30,8,58.9,86.6,61.1,0
DDD,2014J,F,South West Region,Lower Than A Level,60-70%,35-55,N,0,49,12,39.9,94.5,151.4,0
BBB,2013J,M,Wales,A Level or Equivalent,10-20,0-35,N,0,124,11,30.8,99.4,58.2,0
GGG,2013J,F,East Midlands Region,Lower Than A Level,40-50%,35-55,N,0,115,1,23.4,100.0,31.8,0
CCC,2013B,M,West Midlands Region,HE Qualification,80-90%,35-55,N,1,87,17,63.4,63.4,114.6,0
DDD,2014J,M,Scotland,Lower Than A Level,70-80%,35-55,N,0,30,9,38.3,97.3,64.9,0
DDD,2013J,F,Ireland,A Level or Equivalent,30-40%,0-35,N,2,70,4,75.5,78.8,112.1,0
BBB,2014B,F,South East Region,Lower Than A Level,50-60%,0-35,N,0,90,8,76.1,78.3,0.0,0
BBB,2013J,M,South Region,A Level or Equivalent,30-40%,0-35,N,0,85,9,84.7,84.7,156.5,0
BBB,2014J,M,Ireland,A Level or Equivalent,50-60%,0-35,N,0,30,5,34.4,73.2,126.6,0
CCC,2013J,F,South West Region,A Level or Equivalent,60-70%,35-55,N,0,43,9,64.4,100.0,36.6,0
FFF,2014J,M,South West Region,Lower Than A Level,20-30%,0-35,N,0,75,5,67.9,100.0,37.5,0
FFF,2014J,F,Wales,Lower Than A Level,10-20,0-35,N,0,99,6,43.0,88.0,160.0,0
FFF,2013J,F,South East Region,A Level or Equivalent,40-50%,35-55,N,0,30,5,36.2,100.0,68.2,0
FFF,2013J,F,East Midlands Region,A Level or Equivalent,90-100%,35-55,N,0,71,1,90.0,90.0,64.2,1
EEE,2013B,M,East Anglian Region,Lower Than A Level,?,35-55,Y,0,83,8,58.8,66.5,4.9,0
CCC,2013J,F,London Region,A Level or Equivalent,30-40%,35-55,N,1,111,10,68.0,68.0,84.2,0
DDD,2013J,M,North Region,A Level or Equivalent,70-80%,0-35,Y,0,105,10,35.1,76.6,89.3,0
FFF,2014B,M,South Region,A Level or Equivalent,40-50%,0-35,N,0,101,11,26.2,90.2,128.4,0
DDD,2014J,M,London Region,Lower Than A Level,40-50%,35-55,N,0,47,9,40.8,89.3,40.8,0
DDD,2014B,M,North Western Region,A Level or Equivalent,70-80%,0-35,N,0,30,5,50.9,90.0,35.8,0
FFF,2014J,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,0,62,12,29.7,65.3,117.5,0
BBB,2013B,F,South West Region,A Level or Equivalent,90-100%,0-35,N,0,117,2,53.4,100.0,140.5,0
BBB,2014J,F,North Region,HE Qualification,0-10%,0-35,N,0,132,4,15.6,91.5,33.7,0
DDD,2013J,M,South Region,Lower Than A Level,40-50%,35-55,N,0,106,3,28.4,99.3,143.6,0
DDD,2014J,M,East Anglian Region,Lower Than A Level,70-80%,0-35,Y,0,95,13,68.8,68.8,100.3,0
FFF,2013B,M,East Anglian Region,A Level or Equivalent,10-20,0-35,N,0,93,12,67.3,92.6,144.0,0
BBB,2013J,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,N,0,56,10,44.8,68.8,95.9,0
DDD,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,73,13,30.7,81.3,0.0,0
DDD,2014J,F,South Region,Lower Than A Level,60-70%,0-35,N,0,143,4,30.5,96.1,92.5,0
EEE,2014B,F,South East Region,HE Qualification,10-20,0-35,N,0,41,9,45.2,89.1,142.7,0
DDD,2014J,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,N,0,141,7,68.2,74.1,61.8,0
FFF,2013B,F,Yorkshire Region,HE Qualification,90-100%,0-35,Y,2,65,12,74.6,87.7,82.7,0
FFF,2014J,M,North Region,Lower Than A Level,30-40%,0-35,N,0,130,7,42.5,63.4,91.5,0
DDD,2014J,F,South Region,A Level or Equivalent,50-60%,0-35,N,0,30,6,27.6,100.0,0.0,0
FFF,2014J,F,Wales,HE Qualification,10-20,0-35,N,0,101,10,59.7,84.4,160.0,0
DDD,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,49,12,35.1,100.0,61.4,0
GGG,2013J,M,South East Region,Lower Than A Level,30-40%,35-55,N,0,30,5,42.0,79.3,119.7,0
DDD,2014J,F,Wales,A Level or Equivalent,20-30%,0-35,N,0,86,7,83.6,83.6,95.2,0
BBB,2014B,F,Wales,A Level or Equivalent,80-90%,35-55,N,0,117,3,72.3,75.5,150.9,0
DDD,2013J,M,East Midlands Region,A Level or Equivalent,10-20,0-35,N,0,45,1,57.2,100.0,115.6,0
BBB,2013J,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,30,9,25.0,76.4,89.0,0
DDD,2013J,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N,0,74,11,58.4,97.9,61.8,0
GGG,2013J,F,Ireland,Lower Than A Level,50-60%,35-55,N,0,74,9,77.6,81.6,131.8,0
BBB,2013J,M,North Region,A Level or Equivalent,0-10%,0-35,N,0,99,1,45.2,56.3,21.2,0
GGG,2014J,F,Scotland,A Level or Equivalent,0-10%,0-35,N,0,115,6,84.1,84.1,125.5,0
GGG,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,0,75,1,82.8,82.8,53.2,0
FFF,2013B,M,East Anglian Region,A Level or Equivalent,10-20,0-35,N,0,150,14,91.2,91.2,150.7,0
FFF,2013B,M,Wales,Lower Than A Level,40-50%,0-35,N,0,87,3,60.5,68.8,105.5,0
FFF,2013J,F,South East Region,Lower Than A Level,90-100%,0-35,N,0,64,13,66.9,100.0,125.5,0
FFF,2014J,M,South Region,HE Qualification,90-100%,0-35,N,0,30,12,85.6,86.2,102.2,1
FFF,2014B,F,West Midlands Region,Lower Than A Level,90-100%,0-35,N,0,68,4,63.8,84.8,26.2,1
CCC,2013J,M,South East Region,A Level or Equivalent,50-60%,0-35,N,0,65,3,42.4,98.1,63.1,0
FFF,2014J,M,Wales,Lower Than A Level,70-80%,35-55,N,0,115,9,43.5,100.0,126.6,0
BBB,2014J,F,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,0,96,4,59.0,87.3,105.7,0
EEE,2014B,M,South West Region,A Level or Equivalent,50-60%,35-55,N,0,32,8,24.5,75.4,147.7,0
FFF,2014B,M,West Midlands Region,Lower Than A Level,20-30%,0-35,N,0,84,6,50.4,59.5,115.5,0
EEE,2014J,M,South Region,Lower Than A Level,0-10%,0-35,N,0,104,1,78.4,78.4,58.7,0
BBB,2014J,F,South West Region,Lower Than A Level,20-30%,35-55,N,0,137,1,4.2,77.9,65.8,0
FFF,2014J,M,East Midlands Region,Lower Than A Level,40-50%,0-35,N,0,112,9,88.3,89.3,103.0,0
CCC,2014B,M,Yorkshire Region,HE Qualification,80-90%,0-35,N,0,107,5,79.0,82.2,2.9,0
DDD,2014J,F,South West Region,HE Qualification,20-30%,0-35,Y,0,80,5,43.3,98.6,160.0,0
EEE,2014J,M,Wales,A Level or Equivalent,30-40%,0-35,N,0,93,11,65.9,77.9,117.1,0
CCC,2014B,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,1,127,13,53.7,86.7,149.6,1
CCC,2014J,M,North Western Region,Lower Than A Level,90-100%,35-55,Y,0,30,7,81.4,100.0,33.3,0
BBB,2014B,F,Scotland,A Level or Equivalent,50-60%,0-35,Y,2,64,6,75.8,93.1,150.3,0
FFF,2014J,M,South Region,Lower Than A Level,40-50%,0-35,N,0,48,10,22.1,86.7,160.0,0
CCC,2014J,F,Wales,Lower Than A Level,80-90%,0-35,N,0,93,2,66.9,78.1,44.1,0
EEE,2014J,M,Ireland,Lower Than A Level,80-90%,0-35,N,0,126,9,49.0,77.6,130.7,0
AAA,2014B,M,Scotland,A Level or Equivalent,40-50%,0-35,N,0,54,10,55.5,74.2,98.8,0
BBB,2013B,M,London Region,A Level or Equivalent,60-70%,35-55,N,0,30,11,37.2,79.1,34.8,0
BBB,2014B,M,South East Region,A Level or Equivalent,70-80%,35-55,N,0,62,1,93.1,99.6,119.2,0
CCC,2013J,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,N,0,113,4,77.1,84.1,133.3,0
BBB,2014B,M,West Midlands Region,HE Qualification,20-30%,35-55,N,1,99,4,37.0,66.2,73.9,1
GGG,2014J,F,Wales,A Level or Equivalent,80-90%,55<=,N,0,94,8,23.6,100.0,147.1,0
EEE,2014J,M,South West Region,A Level or Equivalent,0-10%,35-55,N,0,67,10,45.0,92.7,29.7,1
BBB,2013B,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,0,30,15,63.5,65.3,36.9,0
CCC,2014J,F,London Region,Lower Than A Level,50-60%,0-35,N,0,98,6,59.1,80.6,104.4,0
CCC,2014J,F,South East Region,Lower Than A Level,30-40%,0-35,N,0,45,5,81.9,89.4,99.8,0
FFF,2014J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,0,163,13,71.5,100.0,69.1,0
GGG,2014J,M,Scotland,A Level or Equivalent,70-80%,0-35,N,0,100,9,75.5,75.5,132.3,0
DDD,2014J,M,Wales,A Level or Equivalent,30-40%,55<=,Y,0,55,14,61.0,100.0,120.8,0
EEE,2013J,F,Scotland,A Level or Equivalent,50-60%,0-35,N,0,54,9,22.3,100.0,134.3,0
BBB,2013J,F,Wales,Lower Than A Level,0-10%,35-55,N,3,74,2,49.2,77.7,93.7,0
GGG,2013B,M,East Anglian Region,Lower Than A Level,30-40%,35-55,N,0,68,2,77.6,83.2,123.7,0
BBB,2014B,F,North Region,A Level or Equivalent,?,35-55,N,1,121,1,52.5,71.2,80.3,0
FFF,2014J,F,London Region,A Level or Equivalent,10-20,55<=,N,0,85,11,65.0,84.4,160.0,0
GGG,2014J,F,London Region,Post Graduate Qualification,10-20,0-35,N,0,49,13,46.5,87.1,65.1,0
FFF,2013J,F,East Anglian Region,Lower Than A Level,10-20,0-35,N,0,152,16,30.4,98.1,160.0,0
BBB,2013J,M,South Region,Lower Than A Level,10-20,0-35,N,0,80,12,50.9,100.0,100.2,0
GGG,2014J,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,0,108,13,60.6,75.8,41.8,0
GGG,2014B,M,Ireland,Lower Than A Level,70-80%,0-35,N,0,54,5,38.9,56.4,155.5,0
DDD,2013J,M,London Region,A Level or Equivalent,?,0-35,Y,0,92,2,48.3,87.3,104.0,0
DDD,2013J,M,North Western Region,Lower Than A Level,10-20,35-55,Y,0,90,12,32.5,92.3,134.0,0
BBB,2013J,F,Wales,HE Qualification,60-70%,0-35,N,0,30,10,78.9,91.6,149.5,0
BBB,2014J,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N,0,156,8,47.0,82.5,112.8,0
BBB,2013B,M,South West Region,A Level or Equivalent,80-90%,0-35,N,0,128,10,86.4,89.6,74.2,0
CCC,2014B,M,London Region,A Level or Equivalent,50-60%,0-35,N,0,62,9,88.1,100.0,139.2,1
CCC,2014J,F,North Western Region,A Level or Equivalent,10-20,0-35,N,0,35,14,51.8,93.7,98.8,0
CCC,2013B,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,Y,0,91,14,30.9,81.7,127.2,0
CCC,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,N,2,81,10,6.6,79.7,9.6,0
FFF,2013B,M,South West Region,Lower Than A Level,80-90%,35-55,N,0,92,12,20.5,85.0,117.3,0
DDD,2014B,M,London Region,Lower Than A Level,20-30%,0-35,N,0,85,10,22.7,100.0,72.3,0
FFF,2013J,F,South East Region,A Level or Equivalent,40-50%,35-55,Y,0,98,6,84.8,84.8,160.0,0
DDD,2014J,F,Scotland,HE Qualification,90-100%,0-35,N,0,134,11,56.3,87.3,124.6,1
BBB,2014J,M,South West Region,A Level or Equivalent,80-90%,0-35,N,0,100,1,62.4,80.0,108.7,0
EEE,2013J,F,North Western Region,HE Qualification,?,0-35,N,0,37,13,3.6,100.0,118.9,0
BBB,2014B,F,East Midlands Region,A Level or Equivalent,70-80%,35-55,N,0,131,2,26.6,100.0,57.4,0
FFF,2014J,F,Scotland,HE Qualification,40-50%,0-35,N,0,142,9,73.7,94.8,160.0,0
FFF,2014J,M,South West Region,Lower Than A Level,0-10%,0-35,Y,0,201,4,60.1,89.0,160.0,0
CCC,2014B,M,West Midlands Region,Lower Than A Level,60-70%,35-55,N,0,34,10,50.3,88.2,115.1,0
DDD,2013B,M,West Midlands Region,Post Graduate Qualification,30-40%,35-55,N,0,87,8,66.4,66.4,160.0,0
FFF,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,N,1,30,1,90.6,99.5,75.2,2
FFF,2014J,M,East Midlands Region,HE Qualification,70-80%,35-55,N,0,99,10,48.7,89.8,65.8,0
CCC,2014J,M,South East Region,A Level or Equivalent,20-30%,0-35,N,0,56,5,55.2,94.4,100.5,0
FFF,2014J,M,South Region,A Level or Equivalent,70-80%,0-35,N,0,153,12,58.0,76.4,116.8,0
EEE,2013B,F,South East Region,A Level or Equivalent,0-10%,0-35,N,0,48,8,100.0,100.0,82.5,0
CCC,2014J,M,West Midlands Region,Lower Than A Level,90-100%,35-55,N,3,30,10,6.3,81.1,121.1,0
FFF,2013J,F,Scotland,A Level or Equivalent,30-40%,35-55,N,0,59,3,69.1,100.0,111.5,0
FFF,2014J,F,Scotland,Lower Than A Level,10-20,0-35,N,1,30,5,51.1,81.6,57.4,0
AAA,2013J,M,London Region,Lower Than A Level,0-10%,0-35,N,0,107,6,66.4,100.0,120.3,0
BBB,2014B,F,South East Region,Lower Than A Level,10-20,0-35,N,0,30,12,38.8,94.5,134.6,0
BBB,2014B,M,East Midlands Region,HE Qualification,70-80%,55<=,N,0,79,15,52.6,67.4,105.9,0
EEE,2014J,F,South East Region,A Level or Equivalent,70-80%,35-55,N,0,30,4,69.7,85.6,146.5,1
GGG,2014J,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,N,2,65,13,100.0,100.0,48.3,0
AAA,2014J,F,North Western Region,A Level or Equivalent,0-10%,35-55,N,0,142,1,71.9,71.9,118.2,0
CCC,2013B,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,N,0,92,2,34.5,100.0,50.3,0
BBB,2013B,F,London Region,A Level or Equivalent,40-50%,0-35,N,0,44,3,44.1,98.8,52.6,0
FFF,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,0,77,2,43.4,96.1,72.6,0
CCC,2013J,M,Scotland,A Level or Equivalent,80-90%,0-35,N,0,78,1,13.2,90.3,59.8,0
DDD,2014B,F,South Region,HE Qualification,60-70%,0-35,N,0,96,10,46.2,65.7,76.1,0
BBB,2014J,F,South West Region,Lower Than A Level,70-80%,0-35,Y,0,30,7,70.2,80.0,89.9,0
GGG,2013B,F,Wales,A Level or Equivalent,50-60%,0-35,N,0,101,9,24.9,100.0,133.5,0
FFF,2013J,M,Ireland,Lower Than A Level,90-100%,35-55,N,1,30,11,77.3,77.3,85.5,0
DDD,2013J,F,North Region,A Level or Equivalent,60-70%,0-35,N,0,53,9,64.7,64.7,33.1,0
FFF,2013J,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,Y,0,59,11,37.1,84.0,146.0,0
BBB,2014J,F,North Western Region,Lower Than A Level,80-90%,0-35,N,0,102,7,50.5,85.4,64.1,0
FFF,2014J,M,South West Region,Lower Than A Level,10-20,35-55,N,0,79,2,89.7,89.8,96.3,0
FFF,2014B,F,South East Region,A Level or Equivalent,80-90%,0-35,N,0,30,13,70.2,99.2,117.3,1
FFF,2014J,M,East Anglian Region,No Formal quals,20-30%,0-35,N,0,39,5,53.9,97.8,107.0,0
DDD,2013J,F,North Western Region,HE Qualification,40-50%,0-35,N,0,86,4,48.3,91.8,144.1,0
CCC,2014J,M,South East Region,Lower Than A Level,40-50%,0-35,N,3,75,7,55.4,100.0,118.6,0
DDD,2013J,F,London Region,Lower Than A Level,?,0-35,N,0,55,4,42.1,63.6,63.1,0
GGG,2014J,F,South West Region,Lower Than A Level,80-90%,0-35,N,0,59,6,6.2,95.7,160.0,1
BBB,2013J,M,South West Region,A Level or Equivalent,70-80%,35-55,N,0,105,9,99.7,99.7,106.8,0
BBB,2014B,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,58,9,57.2,68.0,92.7,0
EEE,2014J,M,London Region,A Level or Equivalent,0-10%,0-35,N,0,74,4,62.6,63.8,138.7,0
FFF,2013J,F,London Region,Lower Than A Level,90-100%,35-55,N,1,162,6,52.4,75.8,109.1,0
GGG,2013J,F,Scotland,Lower Than A Level,50-60%,0-35,N,1,30,13,37.1,77.2,115.3,1
FFF,2014B,F,Scotland,A Level or Equivalent,40-50%,0-35,Y,1,30,10,49.5,99.6,160.0,0
GGG,2013B,F,South East Region,HE Qualification,20-30%,35-55,N,3,108,17,17.6,77.9,87.4,0
FFF,2014B,F,South Region,HE Qualification,70-80%,0-35,N,0,51,13,100.0,100.0,85.6,0
EEE,2014J,M,West Midlands Region,Lower Than A Level,70-80%,35-55,N,0,65,13,25.8,77.9,103.6,0
DDD,2014J,M,South Region,Lower Than A Level,40-50%,35-55,N,0,47,1,30.4,100.0,143.2,0
AAA,2014J,F,North Region,HE Qualification,30-40%,35-55,N,0,68,11,43.7,87.9,36.4,0
FFF,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,N,0,140,8,82.7,84.8,17.3,1
DDD,2014J,F,North Western Region,Lower Than A Level,30-40%,0-35,N,0,109,5,54.0,85.9,74.5,0
GGG,2013J,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N,0,111,9,25.8,100.0,31.1,0
DDD,2013J,M,South East Region,Lower Than A Level,?,0-35,N,0,30,12,82.0,82.0,81.2,1
DDD,2014J,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,0,33,10,70.2,100.0,119.6,0
CCC,2014B,M,South East Region,HE Qualification,10-20,0-35,N,0,30,4,65.8,91.0,61.9,0
BBB,2014J,M,North Western Region,HE Qualification,70-80%,0-35,N,0,46,11,69.8,85.1,39.7,0
DDD,2014J,M,North Western Region,A Level or Equivalent,80-90%,35-55,N,0,115,5,100.0,100.0,101.7,0
DDD,2014B,M,East Anglian Region,Lower Than A Level,0-10%,0-35,N,0,98,9,100.0,100.0,134.5,0
GGG,2013J,M,Scotland,Post Graduate Qualification,?,0-35,Y,0,69,6,38.2,82.0,28.6,1
FFF,2014B,M,Wales,Lower Than A Level,30-40%,0-35,N,0,77,7,90.3,90.3,132.8,0
BBB,2013J,F,West Midlands Region,HE Qualification,50-60%,0-35,N,0,51,11,62.3,100.0,132.6,0
GGG,2014J,M,North Western Region,Lower Than A Level,70-80%,0-35,N,0,86,3,64.9,100.0,138.3,0
EEE,2014B,M,Wales,A Level or Equivalent,80-90%,0-35,N,0,108,17,15.5,100.0,149.3,0
BBB,2014B,M,Wales,A Level or Equivalent,20-30%,0-35,N,0,30,1,49.8,100.0,160.0,0
DDD,2014B,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,0,89,5,35.3,84.5,84.0,0
BBB,2014J,M,South West Region,Lower Than A Level,0-10%,35-55,N,0,114,9,72.3,81.9,103.3,1
FFF,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,N,0,62,10,77.8,77.8,81.5,0
BBB,2013J,F,Wales,Lower Than A Level,20-30%,0-35,N,0,105,7,6.9,100.0,98.9,0
BBB,2014J,F,East Midlands Region,Lower Than A Level,80-90%,0-35,N,0,188,7,53.2,95.1,160.0,0
DDD,2013B,F,North Region,Lower Than A Level,20-30%,35-55,N,0,74,10,79.0,79.8,43.1,0
